"V1","V2","V3","V4","V5","V6","V7","V8","V9","N"
4,3,3,1,5,1,2,4,2,10000
4,2,3,1,5,3,2,4,2,10000
3,3,3,1,5,3,2,4,2,10000
4,3,3,1,5,3,2,4,2,10000
5,6,3,1,5,3,2,4,2,10000
4,3,3,1,5,3,2,5,2,10000
4,3,3,1,5,1,2,4,4,10000
4,2,3,1,5,3,2,4,4,10000
4,3,3,1,5,3,2,4,4,10000
5,6,3,1,5,3,2,4,4,10000
4,6,2,1,5,3,2,4,4,10000
4,6,3,1,5,3,2,4,4,10000
4,6,2,1,5,3,2,4,5,10000
4,6,3,1,5,3,2,4,5,10000
4,6,3,1,5,1,2,4,2,10000
4,6,1,1,5,3,2,4,2,10000
4,6,2,1,5,3,2,4,2,10000
4,6,3,1,5,3,2,4,2,10000
4,6,3,1,5,3,2,5,2,10000
4,6,3,1,5,1,2,4,4,10000
4,6,1,1,5,3,2,4,4,10000
4,6,3,1,5,3,2,5,4,10000
